A,B,C,D,E,AD,DE,LD,FS,SUSP, opprundifferential,winner,winner1,CLASS
-1,-1,-1,1,-1,-1,-1,-1,-1,-1,19,1,1,4
-1,-1,-1,1,-1,-1,-1,-1,-1,-1,53,1,1,4
-1,-1,-1,1,-1,-1,-1,-1,-1,-1,54,0,0,4
-1,-1,-1,1,-1,-1,-1,-1,-1,-1,43,0,0,4
-1,-1,-1,1,-1,-1,-1,-1,-1,-1,56,0,0,4
-1,-1,-1,1,-1,-1,-1,-1,-1,-1,57,0,0,4
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,47,0,0,6
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,47,1,1,6
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,20,1,1,7
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,48,0,0,2
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,48,1,1,7
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,76,0,0,2
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,58,0,0,2
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,40,0,0,2
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,21,1,1,2
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,83,1,1,2
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,?,1,1,2
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,33,1,1,2
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,64,1,1,1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32,1,1,1
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,71,1,1,2
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,64,0,0,2
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,28,0,0,2
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,34,1,1,1
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,47,1,1,6
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,62,0,0,6
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,50,1,1,6
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,42,0,0,7
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,44,0,0,6
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,43,1,1,2
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,9,1,1,6
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,72,0,0,6
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,71,1,1,2
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,46,0,0,2
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,76,0,0,6
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,103,1,1,2
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,61,0,0,7
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,41,0,0,1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,43,0,0,1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,48,1,1,1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,54,1,1,1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,39,1,1,1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,79,1,1,1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,34,1,1,1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,87,0,0,1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,48,1,1,1
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,10,1,1,2
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,57,1,1,2
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,34,1,1,2
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,43,1,1,2
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,43,1,1,2
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,45,0,0,2
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,49,1,1,2
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,40,?,?,2
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,66,1,1,2
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,54,0,0,2
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,83,0,0,6
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,44,1,1,6
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,57,0,0,7
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,45,0,0,7
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,39,1,1,7
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,70,1,1,7
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,70,0,0,2
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,41,0,0,2
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,64,1,1,7
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,33,1,1,7
-1,-1,-1,1,-1,-1,-1,-1,-1,-1,35,?,?,4
-1,-1,-1,1,-1,-1,-1,-1,-1,-1,31,1,1,4
-1,-1,-1,1,-1,-1,-1,-1,-1,-1,10,1,1,4
-1,-1,-1,1,-1,-1,-1,-1,-1,-1,47,1,1,4
-1,-1,-1,-1,-1,1,-1,-1,-1,-1,46,1,1,6
